Time, Angle (rad)
1045,1.835868
1046,1.651604
1047,1.148649
1048,1.010156
1049,1.340987
1050,1.479854
1051,1.970017
1052,2.311440
1053,2.356194
1054,2.525802
1055,2.651635
1056,2.940788
1057,2.917358
1058,2.831856
1059,2.748199
1060,2.261243
1061,1.515298
1062,2.289626
1063,1.901191
1064,1.535270
1065,2.107232
1066,2.399615
1067,0.658624
1068,2.711956
1069,-2.588590
1070,-1.797595
1071,3.141593
1072,2.362507
1073,0.843518
1074,0.973760
1075,0.546789
1076,0.927776
1077,1.366604
1078,1.495265
1079,1.292497
1080,1.612356
1081,1.423172
1082,1.446664
1083,1.662525
1084,1.630096
1085,1.889455
1086,2.111216
1087,2.131248
1088,2.416477
1089,1.937970
1090,1.199709
1091,1.152426
1092,0.386876
1093,0.395859
1094,0.170265
1095,0.236392
1096,1.786154
1097,2.238102
1098,2.835714
1099,-2.994514
1100,2.655206
1101,-0.050009
1102,-0.390875
1103,0.680914
1104,0.953041
1105,0.705030
1106,1.222025
1107,1.370571
1108,1.726152
1109,1.641386
1110,1.670465
1111,1.874531
1112,1.952863
1113,2.181522
1114,2.462930
1115,1.884794
1116,1.948765
1117,1.729253
1118,1.585242
1119,1.455037
1120,1.373293
1121,1.170556
1122,1.253156
1123,0.883125
1124,0.605545
1125,-0.298499
1126,0.278300
1127,0.062419
1128,2.270689
1129,1.313473
1130,1.237006
1131,1.302383
1132,1.789465
1133,0.628796
1134,1.155535
1135,1.682454
1136,1.865526
1137,1.604874
1138,1.541496
1139,1.819465
1140,1.643046
1141,1.444204
1142,1.200594
1143,1.055247
1144,0.545711
1145,0.982794
1146,0.948249
1147,1.335860
1148,1.523213
1149,2.015509
1150,2.114495
1151,2.623923
1152,2.564400
1153,3.106285
1154,2.713264
1155,2.335880
1156,2.339218
1157,2.356194
1158,2.380204
1159,2.746802
1160,2.429832
1161,2.128565
1162,2.421642
1163,2.392144
1164,1.714227
1165,1.891553
1166,1.354857
1167,1.243396
1168,0.589063
1169,-0.084582
1170,0.335465
1171,0.666299
1172,0.829164
1173,1.500298
1174,1.287057
1175,2.171122
1176,-2.944197
1177,2.964131
1178,1.695151
1179,2.376254
1180,-2.966048
1181,0.114758
1182,1.215351
1183,0.863669
1184,0.708626
1185,0.899652
1186,0.556521
1187,0.747466
1188,0.741947
1189,0.682818
1190,0.756835
1191,0.722544
1192,0.805003
1193,0.902821
1194,1.209310
1195,1.271203
1196,1.598167
1197,1.570796
1198,1.398097
1199,1.496364
1200,1.449444
1201,1.304544
1202,1.797595
1203,1.820210
1204,0.371185
1205,1.025665
1206,2.677945
1207,1.299849
1208,1.910873
1209,1.875181
1210,1.608123
1211,1.616741
1212,1.700499
1213,0.969439
1214,2.712287
1215,3.066001
1216,2.939935
1217,2.630887
1218,2.434956
1219,2.243050
1220,1.801855
1221,1.858582
1222,1.511699
1223,1.707689
1224,1.808385
1225,2.134113
1226,2.018312
1227,2.283595
1228,2.616797
1229,1.902016
1230,1.661456
1231,-0.023321
1232,0.416283
1233,1.017502
1234,1.446992
1235,1.225241
1236,1.929121
1237,1.681263
1238,1.415800
1239,1.172688
1240,0.839110
1241,0.732300
1242,0.785140
1243,-0.136116
1244,0.551016
1245,2.401420
1246,-2.822339
1247,-1.444825
1248,0.356584
1249,1.961403
1250,1.038958
1251,0.995262
1252,0.997231
1253,1.198619
1254,0.924038
1255,0.982794
1256,1.881169
1257,1.825195
1258,1.909768
1259,2.627927
1260,2.753843
1261,-1.400061
1262,-0.796911
1263,0.038443
1264,0.178410
1265,1.152572
1266,1.446441
1267,1.212026
1268,-1.997424
1269,3.032845
1270,0.885067
1271,1.304544
1272,1.586425
1273,1.625882
1274,1.173717
1275,1.443218
1276,1.424699
1277,1.284902
1278,0.180148
1279,1.375007
1280,1.866278
1281,1.420267
1282,1.774359
1283,1.380965
1284,1.542689
1285,1.292194
1286,2.104505
1287,2.071932
1288,1.915444
1289,1.438669
1290,1.636124
1291,1.032272
1292,1.249046
1293,-2.844695
1294,2.999696
1295,2.889306
1296,2.622841
1297,1.515298
1298,1.292811
1299,-0.050827
1300,-1.349758
1301,-2.788602
1302,-2.807648
1303,-3.114152
1304,2.852588
1305,2.483704
1306,2.283857
1307,1.757283
1308,2.105783
1309,1.578622
1310,1.841191
1311,1.653938
1312,2.441700
1313,2.198384
1314,2.124091
1315,1.934775
1316,1.690225
1317,1.628425
1318,1.343159
1319,1.796160
1320,1.573116
1321,1.804404
1322,1.190290
1323,-1.260255
1324,-0.822881
1325,1.768192
1326,0.982794
1327,1.361773
1328,1.494024
1329,1.291698
1330,0.948709
1331,1.042722
1332,0.927295
1333,-0.208257
1334,-0.146100
1335,0.282636
1336,0.577192
1337,0.321751
1338,0.580105
1339,0.463464
1340,1.615394
1341,1.595182
1342,1.796344
1343,1.620888
1344,1.584309
1345,1.447791
1346,1.300927
1347,1.125470
1348,1.257700
1349,0.743208
1350,0.848753
1351,0.693705
1352,0.354706
1353,-0.205495
1354,-0.391171
1355,-0.321751
1356,-0.530305
1357,-0.900275
1358,-0.902695
1359,-0.953041
1360,-1.186857
1361,-1.130329
1362,-0.519146
1363,0.785398
1364,1.495685
1365,1.748357
1366,1.755117
1367,1.855527
1368,1.908675
1369,1.923463
1370,2.289597
1371,1.979474
1372,1.583616
1373,1.481038
1374,1.489012
1375,1.536021
1376,2.076377
1377,2.734337
1378,3.096963
1379,2.839197
1380,-2.718702
1381,0.254423
1382,0.993748
1383,0.548282
1384,0.691008
1385,1.284906
1386,1.271347
1387,1.582584
1388,1.728536
1389,1.592073
1390,1.670465
1391,2.126290
1392,2.319719
1393,2.417555
1394,2.044553
1395,0.531724
1396,0.909753
1397,0.717048
1398,0.806821
1399,1.081944
1400,1.395632
1401,1.498201
1402,1.815775
1403,-3.056355
1404,-2.634494
1405,-2.879551
1406,1.969477
1407,1.897072
1408,1.299197
1409,1.287160
1410,1.277884
1411,1.243698
1412,1.142937
1413,1.966965
1414,1.661827
1415,1.287052
1416,1.503090
1417,1.570796
1418,1.717653
1419,2.070520
1420,2.356194
1421,2.454087
1422,2.736701
1423,2.785159
1424,1.717875
1425,1.763497
1426,1.667270
1427,1.546131
1428,1.727398
1429,1.701549
1430,1.965587
1431,2.109304
1432,2.251455
1433,2.255692
1434,2.281706
1435,1.857808
1436,1.224665
1437,1.030377
1438,1.425815
1439,1.739979
1440,1.384359
1441,1.719265
1442,1.921483
1443,1.582424
1444,1.409128
1445,1.453327
1446,1.460139
1447,1.385155
1448,1.665110
1449,1.654387
1450,1.569023
1451,1.632958
1452,1.697388
1453,1.510612
1454,1.663126
1455,2.016009
1456,2.330418
1457,1.910089
1458,2.196281
1459,2.494201
1460,2.665897
1461,1.690681
1462,2.833540
1463,2.896162
1464,-0.394791
1465,1.825182
1466,2.064212
1467,1.306662
1468,1.290062
1469,1.664788
1470,1.789068
1471,1.570796
1472,1.773627
1473,1.136387
1474,1.080594
1475,0.708626
1476,0.890564
1477,2.231917
1478,2.619048
1479,2.668292
1480,2.121242
1481,1.108626
1482,-0.329947
1483,-0.365151
1484,0.104600
1485,1.947067
1486,2.153311
1487,2.149871
1488,1.684588
1489,1.461157
1490,0.614398
1491,0.101021
1492,0.854255
1493,0.624818
1494,0.436627
1495,1.415201
1496,1.219280
1497,1.271579
1498,1.872120
1499,1.987235
1500,1.760329
1501,2.896614
1502,-3.069139
1503,-0.065891
1504,-0.337334
1505,0.039979
1506,1.360105
1507,1.750786
1508,1.789465
1509,1.370985
1510,2.205426
1511,1.752116
1512,1.866800
1513,2.301565
1514,2.362786
1515,2.236766
1516,2.084402
1517,1.629386
1518,0.288277
1519,1.206731
1520,1.270300
1521,1.685673
1522,1.042261
1523,1.325818
1524,1.204482
1525,2.215503
1526,-1.278509
1527,2.554207
1528,2.285746
1529,1.496029
1530,0.092047
1531,0.928313
1532,0.576375
1533,0.171793
1534,-0.540420
1535,2.919288
1536,1.787767
1537,0.565570
1538,1.380808
1539,1.158711
1540,1.019141
1541,1.894222
1542,1.834884
1543,2.275290
1544,1.925979
1545,1.668951
1546,1.717520
1547,2.415480
1548,2.610840
1549,-3.126850
1550,2.753132
1551,2.920179
1552,0.928943
1553,1.367439
1554,2.043793
1555,2.501998
1556,2.424840
1557,2.341348
1558,2.269524
1559,2.441700
1560,1.007357
1561,0.343822
1562,0.668600
1563,0.525049
1564,0.864870
1565,0.758850
1566,0.903811
1567,0.935036
1568,1.187252
1569,3.021370
1570,-2.466852
1571,-2.059130
1572,0.864441
1573,1.019141
1574,1.130858
1575,1.684588
1576,1.388947
1577,1.488636
1578,1.869926
1579,1.941821
1580,1.508378
1581,2.174666
1582,2.011362
1583,1.485478
1584,0.124447
1585,0.962994
1586,1.190363
1587,1.623379
1588,1.644809
1589,1.632559
1590,1.437591
1591,1.975688
1592,0.500522
1593,1.447493
1594,1.798766
1595,1.585480
1596,0.566358
1597,1.317405
1598,1.477677
1599,1.438262
1600,1.560688
1601,2.529055
1602,2.457219
1603,1.735605
1604,1.856848
1605,2.256258
1606,1.811436
1607,1.522054
1608,1.372718
1609,1.865031
1610,1.373401
1611,1.456798
1612,1.586222
1613,1.956552
1614,1.936853
1615,2.126759
1616,2.309499
1617,2.621882
1618,2.838777
1619,2.678930
1620,2.620142
1621,2.479027
1622,2.091515
1623,1.711629
1624,1.846096
1625,1.570086
1626,1.488869
1627,1.452168
1628,1.601475
1629,1.646835
1630,1.474323
1631,2.139175
1632,2.473949
1633,1.992216
1634,1.842942
1635,2.302193
1636,1.953135
1637,1.953713
1638,2.415760
1639,2.129396
1640,1.570796
1641,1.430497
1642,0.811034
1643,0.848582
1644,1.801887
1645,0.923509
1646,0.773053
1647,1.009522
1648,1.035583
1649,0.961835
1650,1.144024
1651,1.224660
1652,1.234066
1653,2.207206
1654,2.026175
1655,3.009775
1656,2.336589
1657,2.238317
1658,1.428899
1659,1.498197
1660,1.896955
1661,1.917225
1662,1.069783
1663,0.986506
1664,1.877683
1665,0.947581
1666,1.170631
1667,2.922718
1668,2.009183
1669,1.261110
1670,0.885067
1671,0.396123
1672,0.367598
1673,0.785398
1674,0.616866
1675,0.807172
1676,1.391807
1677,1.234122
1678,1.229720
1679,1.740124
1680,1.778293
1681,1.664465
1682,2.181522
1683,1.341772
1684,1.433730
1685,1.611695
1686,1.297215
1687,1.080839
1688,1.365526
1689,1.309740
1690,1.342752
1691,2.188542
1692,2.399645
1693,2.270763
1694,1.952226
1695,1.896438
1696,1.604117
1697,1.460999
1698,1.523213
1699,1.581322
1700,1.749427
1701,1.726985
1702,1.899819
1703,2.716760
1704,2.933011
1705,2.498092
1706,-3.103313
1707,-3.118341
1708,2.267115
1709,2.147985
1710,1.984864
1711,1.831774
1712,1.570796
1713,1.277609
1714,1.008595
1715,0.946773
1716,-0.307038
1717,0.589435
1718,0.833387
1719,1.929567
1720,0.289146
1721,1.190290
1722,0.682006
1723,1.822951
1724,1.203622
1725,1.717875
1726,1.916648
1727,1.884073
1728,1.557791
1729,1.303200
1730,1.484243
1731,0.614663
1732,0.536911
1733,0.930440
1734,1.388631
1735,1.394734
1736,1.315202
1737,2.081285
1738,2.287630
1739,1.934693
1740,1.845300
1741,2.293895
1742,1.523961
1743,1.498087
1744,1.593710
1745,1.253530
1746,1.137649
1747,0.828127
1748,0.658352
1749,0.710538
1750,0.904827
1751,1.219597
1752,2.107232
1753,1.819227
1754,1.810967
1755,1.670465
1756,1.357817
1757,0.417332
1758,-1.382660
1759,-2.356194
1760,-3.002953
1761,-2.781020
1762,2.938413
1763,2.245537
1764,1.861742
1765,1.524409
1766,0.899860
1767,-0.155479
1768,3.051575
1769,-0.072438
1770,-0.011575
1771,1.510244
1772,1.623300
1773,1.804540
1774,1.712693
1775,1.806341
1776,1.411882
1777,0.332245
1778,0.252554
1779,0.674741
1780,-0.047928
1781,-0.551766
1782,1.810348
1783,-0.222082
1784,-0.104877
1785,1.390719
1786,2.158799
1787,2.961739
1788,2.234397
1789,2.153356
1790,2.241421
1791,2.021866
1792,2.134565
1793,2.101583
1794,1.978293
1795,1.992621
1796,1.650626
1797,1.252848
1798,-0.785398
1799,-1.152572
1800,0.785398
1801,-0.411445
1802,0.153845
1803,0.651179
1804,0.670522
1805,0.344883
1806,1.175155
1807,1.652248
1808,1.451293
1809,1.446441
1810,1.777231
1811,1.338239
1812,1.750855
1813,1.868850
1814,2.073380
1815,1.742987
