Time, Angle (rad)
577,0.269167
578,0.543587
579,0.566729
580,0.529569
581,1.218817
582,2.146627
583,2.020011
584,1.825979
585,1.368766
586,0.515549
587,0.530082
588,2.944375
589,-1.326446
590,2.770701
591,2.606508
592,1.570796
593,0.276820
594,1.898710
595,0.631079
596,0.242293
597,-0.641297
598,-0.321751
599,-0.734855
600,-1.907471
601,-2.191046
602,-2.539190
603,2.902361
604,2.658982
605,3.117985
606,-2.183376
607,0.588003
608,0.207496
609,-1.184102
610,-2.767962
611,2.561711
612,-3.075024
613,-2.878598
614,2.889903
615,2.412738
616,2.337713
617,1.797595
618,1.815775
619,-0.338317
620,-0.700854
621,-0.511430
622,-0.206129
623,1.394412
624,1.921615
625,1.734764
626,1.917274
627,-2.759340
628,-0.548291
629,-1.299849
630,-3.068915
631,-2.203545
632,-2.584396
633,-3.006560
634,-2.806879
635,-2.475623
636,-2.746190
637,-1.813406
638,-1.637817
639,-1.281821
640,-1.651700
641,-0.899652
642,-1.522054
643,-1.025802
644,-1.397038
645,-1.447280
646,-1.790174
647,-0.844154
648,-1.862253
649,-0.135528
650,-0.058756
651,-0.528707
652,-0.713061
653,-0.279266
654,0.278300
655,0.683358
656,0.910774
657,1.287701
658,1.904383
659,1.833834
660,1.689912
661,2.006150
662,2.031326
663,0.915446
664,2.398815
665,2.565217
666,2.479157
667,2.096891
668,-3.140726
669,2.709185
670,-2.219257
671,-1.906399
672,-1.784685
673,-1.539024
674,-1.063698
675,-0.363404
676,0.394019
677,2.361004
678,2.023552
679,1.591351
680,1.396124
681,1.846328
682,0.718830
683,0.832981
684,0.507099
685,0.942000
686,0.844154
687,0.371518
688,1.242176
689,2.589084
690,2.376690
691,2.782822
692,0.325920
693,0.267490
694,0.261629
695,0.209828
696,0.390263
697,1.086318
698,0.805658
699,1.416661
700,1.325818
701,-2.761086
702,-1.930919
703,-2.875272
704,2.927532
705,2.329623
706,0.620069
707,0.560360
708,0.482537
709,0.011200
710,-0.061877
711,-0.449760
712,-1.655698
713,-1.815944
714,-2.036408
715,-1.617784
716,2.677945
717,0.161027
718,0.441290
719,-0.120833
720,-0.385273
721,-1.026728
722,-1.055373
723,-1.515298
724,-1.693502
725,-2.300696
726,2.642246
727,-3.071938
728,2.482787
729,2.283500
730,1.878975
731,0.795261
732,0.681084
733,0.586965
734,0.347839
735,1.153177
736,2.749589
737,-2.718739
738,3.048116
739,-2.521466
740,-2.082605
741,-0.159913
742,-0.007943
743,-1.716389
744,0.158319
745,0.135528
746,-1.272297
747,-0.250988
748,-0.084085
749,-0.969723
750,-0.906893
751,0.343024
752,1.229662
753,2.889275
754,0.311655
755,-1.143094
756,-0.896055
757,-0.873141
758,-1.453688
759,-1.570796
760,-1.504228
761,-2.071363
762,-2.651635
763,1.900988
764,1.231504
765,1.208205
766,1.069764
767,0.558599
768,0.876058
769,-0.076925
770,-0.088109
771,3.141593
772,1.349526
773,0.620438
774,1.653938
775,0.423145
776,1.146602
777,1.935322
778,1.363649
779,1.112685
780,1.276097
781,0.973484
782,1.022234
783,0.737815
784,0.851256
785,-1.300127
786,1.951303
787,-2.356194
788,2.579549
789,2.831940
790,1.999752
791,2.822682
792,2.961739
793,2.344545
794,2.268934
795,2.401502
796,2.038024
797,0.927178
798,-0.172113
799,-0.171804
800,0.065125
801,0.785398
802,2.259057
803,2.289626
804,2.756512
805,2.070516
806,1.530806
807,1.435269
808,2.502755
809,0.407104
810,-2.376147
811,-2.943387
812,-2.276010
813,-2.422511
814,2.499854
815,2.899092
816,-3.134063
817,2.648345
818,2.102307
819,-0.648542
820,-0.199441
821,0.084902
822,0.254615
823,-0.383636
824,0.447356
825,0.785398
826,-0.047583
827,-1.180189
828,-0.117109
829,-0.065227
830,-1.390943
831,-2.024720
832,-2.875341
833,2.119720
834,2.638749
835,2.720929
836,2.484518
837,2.339803
838,2.874815
839,2.422763
