Time, Angle (rad)
609,2.228685
610,2.788680
611,2.775797
612,2.498092
613,2.014620
614,1.886991
615,1.969319
616,1.201463
617,2.101659
618,0.970137
619,0.569313
620,0.644062
621,0.895959
622,0.799651
623,1.334362
624,1.588976
625,2.329174
626,-3.042418
627,2.796037
628,2.383215
629,2.243674
630,1.868200
631,2.080768
632,2.068583
633,2.040645
634,2.083647
635,2.200753
636,2.043493
637,2.048321
638,2.124199
639,2.271651
640,2.031507
641,2.136764
642,2.075357
643,1.841743
644,1.531073
645,1.310194
646,1.202097
647,1.300158
648,1.449087
649,0.423991
650,0.368233
651,0.381652
652,0.446480
653,0.585956
654,1.216852
655,1.362115
656,1.616451
657,1.739003
658,2.293029
659,1.203622
660,1.238737
661,0.694525
662,1.494024
663,1.463986
664,2.214297
665,2.007592
666,1.834324
667,1.385448
668,1.347753
669,0.692334
670,0.549761
671,-0.110657
672,0.596653
673,0.588003
674,0.536871
675,1.249698
676,1.297354
677,1.601587
678,2.039890
679,1.908451
680,2.373307
681,2.421320
682,2.127298
683,2.071810
684,2.283258
685,1.373401
686,1.311243
687,1.620755
688,1.716970
689,1.403549
690,1.979570
691,2.589319
692,2.116250
693,1.748305
694,1.866814
695,-1.571199
696,-1.569551
697,-1.568304
698,1.165905
699,0.759963
700,0.041643
701,1.567326
702,1.567568
703,-1.568593
704,-1.570796
705,2.137526
706,-1.571901
707,-1.571067
708,0.903490
709,0.682853
710,0.678405
711,0.376267
712,0.490012
713,0.496423
714,0.958535
715,0.150371
716,1.060639
717,1.148226
718,1.212026
719,0.617309
720,0.797489
721,1.267253
722,2.656884
723,1.916273
724,2.072443
725,1.975239
726,0.778955
727,0.746337
728,0.654812
729,1.018404
730,1.743516
731,2.123638
732,2.497962
733,2.122451
734,1.797595
735,1.957852
736,0.682893
737,0.587553
738,1.307664
739,1.363993
740,1.834327
741,2.585298
742,1.776192
743,0.457590
744,0.646736
745,0.477345
746,0.605545
747,0.826471
748,1.709892
749,2.118342
750,2.111216
751,2.033303
752,2.109119
753,1.004067
754,1.214078
755,2.280461
756,3.070285
757,-3.002610
758,2.132762
759,1.804197
760,1.880660
761,1.843637
762,1.960223
763,2.070816
764,2.218574
765,2.777614
766,2.967264
767,2.682527
768,2.390664
769,2.601173
770,0.463462
771,0.465231
772,0.367174
773,-0.866302
774,-1.703672
775,-1.892547
776,0.963809
777,1.612260
778,0.990171
779,0.696803
780,0.784605
781,-0.363979
782,0.215664
783,0.038598
784,0.517032
785,0.375280
786,0.566401
787,0.319022
788,1.007642
789,1.222025
790,1.518213
791,1.612564
792,1.211834
793,1.316899
794,1.539556
795,-2.953953
796,-2.013171
797,-2.734036
798,-2.654658
799,2.100386
800,2.010736
801,2.112218
802,1.980555
803,2.059908
804,2.118359
805,2.057167
806,1.676289
807,1.174815
808,-0.909966
809,-1.276087
810,-1.520000
811,-1.692800
812,-1.679484
813,-1.768192
814,0.130370
815,1.711018
816,2.243447
817,2.741352
818,2.885150
819,2.917985
820,2.727145
821,2.518877
822,2.257614
823,1.988026
824,1.990993
825,2.135318
826,1.492012
827,2.226798
828,1.728916
829,1.978393
830,2.125064
831,1.944963
832,1.537994
833,1.570796
834,1.430119
835,1.349968
836,2.093445
837,2.141874
838,1.570796
839,2.014481
840,2.079427
841,1.701624
842,2.236766
843,1.653938
844,1.101958
845,2.134113
846,2.250854
847,2.217099
848,2.576688
849,2.514853
850,2.177463
851,1.913820
852,1.698824
853,2.728438
854,-1.839006
855,-1.982012
856,-2.546444
857,-2.760992
858,-2.774419
859,-2.806856
860,2.677945
861,-2.091195
862,-2.019520
863,-1.069876
864,0.374334
865,1.400061
866,1.411067
867,1.228846
868,1.187512
869,1.480805
870,1.272760
871,1.154829
872,1.223287
873,1.661456
874,1.656666
875,1.810539
876,1.918075
877,2.052396
878,2.191897
879,2.218805
880,2.221193
881,2.305615
882,2.537422
883,2.425881
884,3.114572
885,-2.573068
886,-1.877213
887,-2.715954
888,-2.301703
889,-2.802300
890,-3.075024
891,2.823882
892,2.408778
893,1.723446
894,1.975688
895,2.033379
896,2.230553
897,2.450678
898,2.440464
899,2.205980
900,1.923039
901,1.591639
902,1.481376
903,1.461643
904,1.435311
905,1.545511
906,1.846781
907,1.618767
908,1.823092
909,1.927519
910,0.083141
911,-1.035606
912,-1.385448
913,-1.521148
914,-1.006227
915,-0.116574
916,0.263964
917,0.763180
918,1.276066
919,1.432959
920,1.451381
921,1.679010
922,1.730348
923,1.465919
924,1.656849
925,1.952079
926,1.735945
927,2.381830
928,2.672358
929,2.289899
930,1.661456
931,1.570796
932,1.472751
933,1.771072
934,1.779274
935,2.093774
936,2.072539
937,2.170393
938,1.927658
939,1.991735
940,1.736249
941,1.845646
942,1.056345
943,0.119844
944,-0.000000
945,0.950547
946,1.581463
947,1.964472
948,2.484518
949,2.544525
950,2.606833
951,2.825148
952,2.300410
953,2.279761
954,2.265535
955,1.893685
956,2.245537
957,2.659079
958,1.717978
959,2.168689
960,2.218193
961,2.106359
962,2.067219
963,2.391474
964,2.310285
965,2.191046
966,2.339593
967,2.482664
