Time, Angle (rad)
733,1.601556
734,1.897593
735,2.399246
736,3.072260
737,2.990179
738,-2.362732
739,-2.057106
740,-1.989134
741,-1.264076
742,-1.268651
743,-1.114422
744,-0.946726
745,-0.807343
746,2.936480
747,1.913820
748,2.074101
749,-1.420425
750,-1.166274
751,-0.963463
752,-0.982580
753,-0.785398
754,-0.579074
755,1.202213
756,1.782543
757,1.217806
758,1.129985
759,1.211697
760,1.119762
761,-0.052871
762,0.853470
763,2.158799
764,-1.478396
765,-1.570796
766,-2.252527
767,-1.765409
768,-0.823355
769,-1.060512
770,-1.372728
771,-1.293694
772,-1.067953
773,-2.950742
774,3.006065
775,2.216297
776,2.245537
777,2.180694
778,1.325245
779,0.948972
780,0.797446
781,0.879853
782,0.749675
783,1.535723
784,2.007423
785,1.925537
786,2.346883
787,2.875341
788,-2.043703
789,-2.218473
790,-1.097520
791,-0.411959
792,-0.160883
793,-0.785398
794,-0.700263
795,-0.732074
796,-2.014321
797,-1.075478
798,2.103524
799,-3.027386
800,2.944197
801,0.526430
802,1.686950
803,2.870646
804,1.919567
805,1.343583
806,0.602022
807,0.657889
808,0.752443
809,0.828796
810,0.988443
811,2.004064
812,1.431434
813,-2.677945
814,3.001375
815,2.925508
816,2.334996
817,2.943016
818,-3.075024
819,-2.395095
820,-1.213776
821,-1.620202
822,0.373033
823,-0.042221
824,0.000000
825,0.137066
826,0.219148
827,0.224711
828,0.306627
829,1.570796
830,1.603043
831,2.120779
832,2.089636
833,2.217753
834,2.432778
835,-2.356194
836,1.753380
837,-0.898228
838,0.640492
839,0.563062
840,1.139658
841,1.638240
842,1.866237
843,-1.939574
844,-2.587285
845,-1.689404
846,-1.337880
847,-0.631714
848,-0.318184
849,-0.197990
850,-0.083228
851,-0.134977
852,-0.525347
853,-0.456762
854,-0.300518
855,-0.275537
856,1.258435
857,1.736532
858,2.182164
859,-2.997593
860,-1.450944
861,-2.522711
862,-1.664909
863,-1.489659
864,-0.778907
865,-0.298143
866,-0.563316
867,0.567666
868,0.157562
869,0.785398
870,0.034853
871,-2.446854
