Time, x Vel, y Vel, Vel
408,0.047743,0.018099,0.018099
409,0.066384,0.050444,0.050444
410,0.028162,0.048545,0.048545
411,0.029838,0.075919,0.075919
412,0.010000,0.078000,0.078000
413,-0.034343,0.111111,0.111111
414,-0.026263,0.080808,0.080808
415,-0.052000,0.082000,0.082000
416,-0.086000,0.052000,0.052000
417,-0.060040,0.020444,0.020444
418,-0.038384,0.088889,0.088889
419,-0.072000,0.026000,0.026000
420,-0.015388,0.029755,0.029755
421,-0.023208,-0.017584,-0.017584
422,-0.010101,-0.058586,-0.058586
423,-0.010889,-0.018263,-0.018263
424,0.013942,-0.033300,-0.033300
425,0.053208,0.015584,0.015584
426,0.030303,-0.002020,-0.002020
427,0.008889,-0.011737,-0.011737
428,-0.025743,0.001980,0.001980
429,-0.020000,-0.034000,-0.034000
430,-0.035717,-0.025636,-0.025636
431,0.118384,-0.012505,-0.012505
432,0.157956,0.013261,0.013261
433,0.138000,0.008000,0.008000
434,0.159050,0.034277,0.034277
435,0.057616,0.036505,0.036505
436,0.024222,0.028323,0.028323
437,-0.007152,0.070182,0.070182
438,-0.005050,0.049723,0.049723
439,-0.011152,0.038242,0.038242
440,-0.022990,-0.010020,-0.010020
441,0.002020,-0.020202,-0.020202
442,0.006000,-0.044000,-0.044000
443,0.010101,-0.006061,-0.006061
444,0.040812,0.039723,0.039723
445,0.021131,0.036020,0.036020
446,0.006000,0.038000,0.038000
447,-0.000949,-0.016182,-0.016182
448,-0.009901,-0.019802,-0.019802
449,-0.000929,-0.036020,-0.036020
450,0.016000,0.026000,0.026000
451,0.030000,0.074000,0.074000
452,0.015842,0.049505,0.049505
453,0.042929,0.114020,0.114020
454,-0.020000,0.076000,0.076000
455,-0.060735,0.081143,0.081143
456,-0.076268,0.108231,0.108231
457,-0.086000,0.062000,0.062000
458,-0.076000,0.056000,0.056000
459,-0.049124,-0.013709,-0.013709
460,-0.006061,-0.012121,-0.012121
461,0.017188,-0.047267,-0.047267
462,0.028505,-0.070970,-0.070970
463,0.028283,-0.034343,-0.034343
464,-0.001608,-0.057617,-0.057617
465,-0.037188,-0.032733,-0.032733
466,-0.010505,0.040970,0.040970
467,0.030843,0.063186,0.063186
468,0.037184,0.050082,0.050082
469,0.077212,0.035293,0.035293
470,0.092000,-0.038000,-0.038000
471,0.043904,-0.034903,-0.034903
472,0.026950,0.020337,0.020337
473,-0.028283,-0.010101,-0.010101
474,0.030000,0.020000,0.020000
475,0.032323,-0.012121,-0.012121
476,0.023762,-0.033663,-0.033663
477,0.039071,0.032808,0.032808
478,-0.012505,-0.022970,-0.022970
479,-0.014841,-0.016342,-0.016342
480,0.017287,-0.014673,-0.014673
481,0.033657,-0.073212,-0.073212
482,-0.029495,-0.043030,-0.043030
483,-0.001320,-0.088709,-0.088709
484,-0.006000,-0.066000,-0.066000
485,0.000343,-0.056788,-0.056788
486,0.070000,-0.040000,-0.040000
487,0.032323,0.002020,0.002020
488,0.015556,0.010626,0.010626
489,0.000000,0.030000,0.030000
490,-0.030000,0.030000,0.030000
491,-0.001657,-0.000222,-0.000222
492,0.048444,-0.072626,-0.072626
493,0.040000,-0.132000,-0.132000
494,0.114747,-0.134848,-0.134848
495,0.088525,-0.131091,-0.131091
496,0.070747,-0.119293,-0.119293
497,0.029644,-0.040792,-0.040792
498,-0.038747,-0.025152,-0.025152
499,-0.028283,-0.014141,-0.014141
500,-0.080808,-0.004040,-0.004040
501,-0.057426,0.025743,0.025743
502,-0.041941,0.070396,0.070396
503,-0.042424,0.101010,0.101010
504,0.036364,0.080808,0.080808
505,0.045782,0.015050,0.015050
506,-0.020059,-0.014396,-0.014396
507,0.008081,-0.020202,-0.020202
508,0.064746,0.032723,0.032723
509,0.072970,0.039596,0.039596
510,0.106000,0.030000,0.030000
511,0.074101,-0.011576,-0.011576
512,0.020950,-0.030198,-0.030198
513,-0.011255,-0.047351,-0.047351
514,0.054000,-0.044000,-0.044000
515,0.061253,-0.053071,-0.053071
516,0.016653,-0.050000,-0.050000
517,0.016286,-0.006245,-0.006245
