Time, x COM, y COM, COM
297,53.707071,70.565657,88.678979
298,53.898990,70.616162,88.835485
299,53.940000,70.870000,89.062228
300,53.950000,70.860000,89.060328
301,54.010000,70.890000,89.120549
302,54.090909,70.777778,89.080415
303,54.040404,70.919192,89.162195
304,54.069307,70.861386,89.133753
305,54.163265,70.959184,89.268500
306,54.270000,70.870000,89.262477
307,54.316832,70.980198,89.378447
308,54.350000,71.030000,89.438154
309,54.262626,71.202020,89.521843
310,54.306122,71.224490,89.566081
311,54.220000,71.200000,89.494404
312,54.252525,71.060606,89.403279
313,54.019802,71.475248,89.592690
314,54.160000,71.800000,89.936342
315,54.220000,71.970000,90.108209
316,54.405941,72.029703,90.267849
317,54.580000,72.150000,90.468773
318,54.540000,72.170000,90.460602
319,54.434343,72.141414,90.374119
320,54.534653,71.831683,90.187688
321,54.440000,71.880000,90.168997
322,54.580000,72.060000,90.397013
323,54.653465,72.198020,90.551396
324,54.710000,72.180000,90.571168
325,54.848485,72.383838,90.817269
326,54.910000,72.520000,90.962951
327,54.870000,72.580000,90.986666
328,54.920000,72.790000,91.184376
329,54.908163,73.030612,91.369452
330,54.818182,73.151515,91.412128
331,54.890000,73.140000,91.446004
332,54.840000,73.200000,91.464013
333,54.730000,73.230000,91.422130
334,54.740000,73.380000,91.548304
335,54.620000,73.440000,91.524740
336,54.575758,73.252525,91.347938
337,54.494949,73.121212,91.194359
338,54.570000,73.160000,91.270316
339,54.470000,72.940000,91.034194
340,54.370000,73.260000,91.231160
341,54.200000,73.190000,91.073685
342,54.320000,73.510000,91.402311
343,54.212121,73.444444,91.285489
344,54.168317,73.603960,91.387907
345,54.190000,73.710000,91.486175
346,54.220000,73.610000,91.423413
347,54.181818,73.878788,91.617382
348,54.280000,74.040000,91.805446
349,54.440000,74.150000,91.988782
350,54.390000,74.300000,92.080194
351,54.380000,74.290000,92.066218
352,54.303030,74.515152,92.202640
353,54.151515,74.686869,92.252452
354,54.080000,74.580000,92.123953
355,54.200000,74.550000,92.170182
356,54.070707,74.595960,92.131420
357,53.775510,74.469388,91.855839
358,53.770000,74.410000,91.804472
359,53.760000,74.190000,91.620378
360,53.616162,74.090909,91.455758
361,53.646465,74.232323,91.588105
362,53.465347,74.059406,91.341879
363,53.310000,74.180000,91.348938
364,53.171717,74.080808,91.187705
365,53.272727,74.272727,91.402525
366,53.280000,74.420000,91.526470
367,53.029703,74.475248,91.425991
368,53.029126,74.504854,91.449776
369,52.960396,74.435644,91.353536
370,52.880000,74.450000,91.318656
371,52.920000,74.430000,91.325524
372,52.930000,74.470000,91.363920
373,52.868687,74.424242,91.291105
374,52.650000,74.380000,91.128519
375,52.600000,74.450000,91.156802
376,52.544554,74.237624,90.951388
377,52.480000,74.200000,90.883389
378,52.350000,74.210000,90.816555
379,52.353535,74.535354,91.084640
380,52.396040,74.564356,91.132805
381,52.340000,74.600000,91.129773
382,52.340000,74.800000,91.293568
383,52.200000,74.550000,91.008475
384,52.010000,74.750000,91.063728
385,51.808081,74.868687,91.046128
386,52.131313,75.040404,91.371418
387,52.070000,75.200000,91.467617
388,52.353535,75.434343,91.821745
389,52.373737,75.737374,92.082344
390,52.484848,75.919192,92.295087
391,52.600000,75.960000,92.394164
392,52.690000,75.810000,92.322219
393,52.720000,75.980000,92.478964
394,52.715686,76.049020,92.533221
395,52.485149,76.118812,92.459528
396,52.464646,75.909091,92.275290
397,52.525253,75.929293,92.326376
398,52.663366,75.801980,92.300435
399,52.780000,75.830000,92.390028
400,52.676768,76.010101,92.479064
401,52.740000,76.020000,92.523230
402,52.840000,76.030000,92.588479
403,52.636364,76.303030,92.697029
404,52.673267,76.287129,92.704903
405,52.860000,76.530000,93.010862
406,52.730000,76.600000,92.994693
407,52.430000,76.530000,92.767159
408,52.121212,76.434343,92.513943
409,52.141414,76.343434,92.450241
410,51.980198,76.396040,92.402900
411,52.030000,76.480000,92.500331
412,52.366337,76.554455,92.751377
413,52.564356,76.524752,92.838835
414,52.400000,76.650000,92.849246
415,52.693069,76.782178,93.123909
416,52.850000,76.720000,93.161585
417,52.620000,76.650000,92.973582
418,52.693878,76.775510,93.118869
419,52.762376,77.059406,93.391758
420,52.792079,77.227723,93.547447
421,52.828283,77.202020,93.546670
422,53.009901,77.366337,93.784858
423,52.900000,77.340000,93.701044
424,52.931373,77.441176,93.802271
425,52.747475,77.404040,93.667932
426,52.777778,77.232323,93.543175
427,52.810000,77.210000,93.542932
428,52.606061,77.404040,93.588370
429,52.514851,77.425743,93.555092
430,52.702970,77.514851,93.734494
431,52.700000,77.530000,93.745351
432,52.530000,77.620000,93.724411
433,52.574257,77.613861,93.744141
434,52.653465,77.772277,93.919724
435,52.607843,77.843137,93.952856
436,52.732673,77.930693,94.095312
437,52.777778,78.060606,94.228191
438,52.710000,78.090000,94.214607
439,52.686869,78.191919,94.286173
440,52.970000,78.250000,94.492769
441,52.760000,78.250000,94.375209
442,52.727273,78.383838,94.467939
443,52.550000,78.490000,94.457306
444,52.650000,78.580000,94.587731
445,52.673267,78.891089,94.859249
446,52.330000,78.990000,94.751512
447,52.560000,79.380000,95.203666
448,52.393939,79.545455,95.250219
449,52.222222,79.777778,95.350167
450,51.909091,79.898990,95.280650
451,51.969697,79.828283,95.254418
452,51.901961,79.813725,95.205275
453,52.020000,79.860000,95.308447
454,52.232323,79.858586,95.423316
455,52.160000,80.140000,95.619481
456,52.424242,80.161616,95.781971
457,52.565657,80.282828,95.960829
458,52.474747,80.434343,96.037923
459,52.464646,80.717172,96.269419
460,52.336634,80.732673,96.212721
461,52.131313,80.898990,96.240950
462,51.871287,81.039604,96.218750
463,51.891089,81.059406,96.246103
464,51.775510,81.163265,96.271383
465,51.740000,81.300000,96.367617
466,51.795918,81.326531,96.420028
467,51.643564,81.366337,96.371876
468,51.640000,81.370000,96.373059
469,51.460000,81.600000,96.471196
470,51.445545,81.693069,96.542227
471,51.465347,81.693069,96.552781
472,51.340000,81.870000,96.635876
473,51.401961,81.931373,96.720791
474,51.595960,81.929293,96.822271
475,51.620000,81.980000,96.877989
476,51.800000,82.010000,96.999382
477,51.960000,82.210000,97.253924
478,52.060000,82.260000,97.349634
479,51.881188,82.415842,97.385978
480,51.990000,82.440000,97.464423
481,51.919192,82.696970,97.644208
482,52.088235,82.911765,97.916010
483,52.050000,82.980000,97.953473
484,52.000000,83.131313,98.055164
485,51.909091,83.252525,98.109819
486,51.790000,83.260000,98.053209
487,51.929293,83.272727,98.137651
488,51.770000,83.340000,98.110593
489,51.570000,83.430000,98.081751
490,51.346535,83.603960,98.112633
491,51.430000,83.670000,98.212595
492,51.310000,83.900000,98.345951
493,51.161616,83.959596,98.319503
494,51.130000,84.080000,98.405911
495,50.880000,84.320000,98.481657
496,50.870000,84.370000,98.519307
497,51.070000,84.620000,98.836680
498,51.050000,84.730000,98.920551
499,51.160000,84.670000,98.926005
500,51.262626,84.737374,99.036758
501,51.160000,84.920000,99.140063
502,51.282828,85.131313,99.384450
503,51.188119,85.138614,99.341870
504,51.326733,85.148515,99.421844
505,51.747475,85.202020,99.685432
506,51.782178,85.108911,99.623896
507,51.720000,85.270000,99.729290
508,51.940000,85.500000,100.040060
509,51.980000,85.690000,100.223233
510,52.040000,85.690000,100.254365
511,52.130000,85.690000,100.301112
512,52.198020,85.722772,100.364471
513,52.050000,85.790000,100.345038
514,51.940000,86.000000,100.467724
515,52.030000,86.220000,100.702578
516,51.919192,86.111111,100.552106
517,51.959596,86.252525,100.694080
518,51.910891,86.287129,100.698606
519,51.930000,86.370000,100.779471
520,51.990000,86.530000,100.947516
521,52.120000,86.590000,101.065931
522,52.121212,86.666667,101.132249
523,52.148515,86.633663,101.118046
524,52.265306,86.816327,101.334776
525,52.270000,86.720000,101.254685
